label,userSegment,productId,ruleScore,skinTypeMatch,rating,inStock,priceValue,hydrationMatch,oilControlMatch,acnePoreMatch,pigmentationMatch,textureMatch,agingMatch,sensitivityMatch,spfMatch
1,dry:dehydration,p1,0.92,1,0.96,1,0.78,1,0,0,0,0,0,0,0
1,oily:enlarged-pores,p5,0.88,1,0.94,1,0.72,0,1,1,0,0,0,0,0
1,combination:uneven-tone,p6,0.86,1,0.98,1,0.70,0,0,0,1,0,0,0,1
1,combination:dark-spots,p2,0.82,1,0.92,1,0.65,0,0,0,1,1,0,0,0
1,mature:fine-lines,p4,0.80,1,0.94,1,0.68,0,0,0,0,0,1,0,0
1,sensitive:redness,p3,0.78,1,0.90,1,0.82,0,0,0,0,0,0,1,0
1,normal:maintenance,p6,0.76,0,0.98,1,0.70,0,0,0,0,0,0,0,1
1,dry:redness,p1,0.74,1,0.90,1,0.84,1,0,0,0,0,0,1,0
1,oily:excess-sebum,p8,0.72,1,0.88,1,0.76,0,1,0,0,0,0,0,0
1,combination:uneven-texture,p8,0.70,1,0.92,1,0.80,0,0,1,0,1,0,0,0
0,oily:excess-sebum,p1,0.36,0,0.72,1,0.70,0,0,0,0,0,0,0,0
0,sensitive:redness,p4,0.42,0,0.80,0,0.52,1,0,0,0,0,0,0,0
0,dry:dehydration,p7,0.30,1,0.76,1,0.40,0,0,0,0,0,0,0,0
0,normal:maintenance,p4,0.48,0,0.70,1,0.88,0,0,0,0,0,1,0,0
0,dry:dehydration,p5,0.25,0,0.90,1,0.60,0,1,0,0,0,0,0,0
0,combination:dark-spots,p4,0.40,1,0.78,0,0.68,0,0,1,0,0,0,0,0
0,sensitive:redness,p2,0.34,0,0.84,1,0.76,0,0,0,1,0,0,0,0
0,oily:enlarged-pores,p9,0.44,0,0.86,1,0.62,0,0,0,0,1,0,0,0
0,normal:maintenance,p10,0.38,1,0.74,1,0.50,0,0,0,0,0,0,0,0
0,sensitive:irritation,p8,0.28,0,0.82,1,0.92,0,0,0,0,0,0,1,0
