label,meanR,meanG,meanB,stdR,stdG,stdB,brightness,textureFreq,entropy,localContrast,topBrightness,topStd,midBrightness,midStd,bottomBrightness,bottomStd
Dry,0.61,0.55,0.50,0.18,0.17,0.16,0.55,0.42,0.55,0.18,0.53,0.22,0.55,0.18,0.50,0.24
Dry,0.58,0.52,0.47,0.17,0.16,0.15,0.50,0.48,0.58,0.22,0.48,0.26,0.52,0.21,0.46,0.27
Dry,0.65,0.60,0.56,0.16,0.15,0.14,0.60,0.34,0.46,0.15,0.59,0.18,0.61,0.15,0.57,0.20
Dry,0.54,0.49,0.45,0.20,0.19,0.18,0.49,0.50,0.62,0.24,0.47,0.30,0.50,0.23,0.44,0.31
Dry,0.62,0.56,0.51,0.19,0.18,0.16,0.56,0.44,0.57,0.21,0.54,0.25,0.57,0.20,0.52,0.27
Normal,0.68,0.60,0.54,0.22,0.20,0.18,0.61,0.20,0.42,0.16,0.62,0.18,0.60,0.16,0.59,0.18
Normal,0.70,0.63,0.58,0.20,0.19,0.17,0.64,0.18,0.39,0.14,0.65,0.16,0.63,0.14,0.62,0.16
Normal,0.64,0.57,0.52,0.21,0.20,0.18,0.58,0.23,0.44,0.17,0.59,0.19,0.58,0.17,0.56,0.18
Normal,0.72,0.65,0.60,0.23,0.21,0.19,0.66,0.19,0.41,0.15,0.67,0.17,0.66,0.15,0.64,0.17
Normal,0.67,0.61,0.56,0.21,0.20,0.18,0.61,0.21,0.40,0.16,0.62,0.18,0.61,0.16,0.60,0.18
Oily,0.74,0.65,0.57,0.36,0.31,0.27,0.65,0.46,0.64,0.42,0.75,0.48,0.63,0.37,0.60,0.33
Oily,0.78,0.69,0.61,0.40,0.34,0.29,0.69,0.52,0.67,0.48,0.79,0.54,0.67,0.43,0.64,0.38
Oily,0.72,0.62,0.55,0.33,0.29,0.25,0.63,0.43,0.60,0.39,0.73,0.45,0.61,0.35,0.58,0.32
Oily,0.81,0.72,0.65,0.42,0.36,0.31,0.73,0.55,0.69,0.51,0.82,0.58,0.70,0.46,0.68,0.41
Oily,0.76,0.67,0.59,0.38,0.33,0.28,0.67,0.49,0.66,0.45,0.77,0.51,0.65,0.40,0.62,0.36
Sensitive,0.76,0.50,0.45,0.28,0.23,0.22,0.57,0.34,0.63,0.31,0.57,0.33,0.58,0.34,0.55,0.32
Sensitive,0.80,0.52,0.46,0.30,0.24,0.23,0.59,0.38,0.68,0.36,0.59,0.37,0.60,0.39,0.57,0.35
Sensitive,0.72,0.48,0.43,0.26,0.22,0.21,0.54,0.31,0.61,0.28,0.54,0.30,0.55,0.31,0.52,0.29
Sensitive,0.83,0.56,0.50,0.31,0.25,0.24,0.63,0.40,0.70,0.38,0.63,0.39,0.64,0.40,0.60,0.37
Sensitive,0.78,0.51,0.44,0.29,0.23,0.22,0.58,0.35,0.66,0.33,0.58,0.35,0.59,0.36,0.56,0.33
Combination,0.73,0.62,0.55,0.34,0.30,0.26,0.63,0.39,0.58,0.34,0.75,0.47,0.57,0.28,0.55,0.27
Combination,0.76,0.65,0.58,0.37,0.32,0.28,0.66,0.43,0.61,0.38,0.79,0.52,0.59,0.31,0.57,0.30
Combination,0.70,0.59,0.53,0.32,0.28,0.25,0.60,0.37,0.56,0.32,0.72,0.44,0.55,0.27,0.53,0.26
Combination,0.78,0.67,0.60,0.39,0.33,0.29,0.68,0.45,0.63,0.40,0.81,0.55,0.61,0.33,0.58,0.31
Combination,0.74,0.63,0.56,0.35,0.31,0.27,0.64,0.41,0.60,0.36,0.77,0.49,0.58,0.30,0.56,0.28
